StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q13_1,Q14,Q14_4_TEXT,Q15,Q16_1,Q17,Q19_1,Q19_2,Q19_3,Q21_1,Q21_2,Q21_3,Q32_1,Q32_2,Q32_3,Q33_1,Q33_2,Q33_3,Q27
2018-06-11 22:02:39,2018-06-11 22:07:37,IP Address,*******,100,298,True,2018-06-11 22:07:37,R_33jyOpODP2xjvKU,*******,*******,*******,*******,*******,*******,anonymous,EN,,28,Male,,Early Career Academic,2,"Memory, decision making, reward",Moderately,Well,Somewhat Poorly,Poorly,Well,Somewhat Poorly,Moderate Caution,Somewhat High Caution,Low Caution,Somewhat Low Caution,Somewhat High Caution,Low Caution,"I would expect lower quality data from online experiments as you cannot control what else they are doing, or their conditions. Students doing it for course credit may also be less motivated, especially those who leave it til later, than members of the public who volunteer. "
2018-06-11 22:06:53,2018-06-11 22:13:52,IP Address,*******,100,418,True,2018-06-11 22:13:52,R_0pMqlA98P1B68TL,*******,*******,*******,*******,*******,*******,anonymous,EN,,,Female,,Senior Academic,26,"decision making, crossmodal interaction, stochastic modeling",Poorly,Well,Moderately,Poorly,Well,Moderately,Low Caution,High Caution,Moderate Caution,Low Caution,High Caution,Moderate Caution,"No. At the beginning of the semester students have all kinds of (social) activities, at the end of the semester exams. None-student participants should not be affect by semester time."
2018-06-11 22:29:52,2018-06-11 22:35:48,IP Address,*******,100,356,True,2018-06-11 22:35:49,R_ClgdHC2T0uaKTU5,*******,*******,*******,*******,*******,*******,anonymous,EN,,28,Male,,Early Career Academic,1,"Memory, false memories, psych and law",Well,Well,Extremely Well,Somewhat Poorly,Well,Extremely Well,Moderate Caution,Somewhat High Caution,High Caution,Extremely Low Caution,Moderate Caution,High Caution,"I think it does for students. I think students at the end of the semester produce terrible quality data which probably shouldn’t be used in analyses. "
2018-06-11 22:55:46,2018-06-11 23:01:04,IP Address,*******,100,317,True,2018-06-11 23:01:04,R_2ZQTz5ouxdhR89H,*******,*******,*******,*******,*******,*******,anonymous,EN,,40,Male,,Mid Career Academic,7,Judgment and Decision Making,Moderately,Somewhat Well,Moderately,Moderately,Somewhat Well,Moderately,Moderate Caution,Somewhat High Caution,Moderate Caution,Moderate Caution,Somewhat High Caution,Moderate Caution,"Overall, I do not think the quality of data from undergrads varies much (if at all) over the course of the semester. There are likely to be some differences (men are more likely to participate later, people with a job are more likely to participate later, older people are more likely to participate later) but these small differences rarely result in observable differences on cognitive tasks. Perhaps a personality researcher should be concerned with semester effects, but most researchers likely don't need to be concerned. "
2018-06-12 06:15:05,2018-06-12 06:19:41,IP Address,*******,100,275,True,2018-06-12 06:19:41,R_12JyUJIb2eRrWei,*******,*******,*******,*******,*******,*******,anonymous,EN,,66,Female,,Senior Academic,36,"Word reading and spelling, attention and lexical processing.",Well,Moderately,Moderately,Moderately,Moderately,Moderately,Somewhat High Caution,Somewhat High Caution,Somewhat Low Caution,Somewhat Low Caution,Somewhat Low Caution,Low Caution,"Yes definitely. Motivation is lower, attendance is poorer at the end of semester, and these factor are evident in the data."
2018-06-12 09:34:02,2018-06-12 09:36:11,IP Address,*******,100,129,True,2018-06-12 09:36:12,R_3EDMCUTf1kJu7Hd,*******,*******,*******,*******,*******,*******,anonymous,EN,,24,Female,,Early Career Academic,3,"Brain ageing, research methods",Moderately,Well,Somewhat Well,Somewhat Poorly,Well,Somewhat Well,Low Caution,Extremely High Caution,Somewhat High Caution,Extremely Low Caution,High Caution,Somewhat High Caution,"Yes. There is an initial burst of keen-bean students early in Semester, followed by a slow stream of those getting it done. People doing tasks just before credit is due (late semester) tend to offer poor quality data because they are rushed and doing it to tick a box, not because they're actually interested in the good of research."
2018-06-12 09:14:03,2018-06-12 09:38:53,IP Address,*******,100,1489,True,2018-06-12 09:38:53,R_1JPDPGCSHTFsnT9,*******,*******,*******,*******,*******,*******,anonymous,EN,,39,Female,,Mid Career Academic,14,Memory,Somewhat Poorly,Moderately,Well,Moderately,Somewhat Well,Well,Somewhat Low Caution,Somewhat High Caution,High Caution,Moderate Caution,Somewhat High Caution,High Caution,Yes - undergrads left in the pool at the end of semester are usually low quality responders
2018-06-12 12:13:05,2018-06-12 12:14:45,IP Address,*******,100,99,True,2018-06-12 12:14:45,R_271YNYaY0RqjIWY,*******,*******,*******,*******,*******,*******,anonymous,EN,,42,Female,,Mid Career Academic,16,judgment and decision making,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderate Caution,Moderate Caution,Low Caution,Somewhat Low Caution,Moderate Caution,Low Caution,
2018-06-12 23:48:05,2018-06-12 23:57:31,IP Address,*******,100,565,True,2018-06-12 23:57:31,R_1eQtl5UlqyJ58Jj,*******,*******,*******,*******,*******,*******,anonymous,EN,,39,Female,,Mid Career Academic,12,"reasonong, biases, irrational beliefs",Moderately,Moderately,Somewhat Well,Somewhat Poorly,Moderately,Somewhat Well,High Caution,Somewhat High Caution,Somewhat High Caution,Somewhat Low Caution,Moderate Caution,Somewhat High Caution,"From my experience, student samples can be unreliable - depending maybe not on time, but on whether they need credits to pass the course or not or how the quality of their responses are checked. In comparing with sample of participants from general public paid for participation they seem to be less reliable - but this may not be the case for all kinds of students. My experience is with students from teaching programs, who were not very enthusiastic about cognitive tasks we used in several studies with them."
2018-06-13 02:04:38,2018-06-13 02:08:32,IP Address,*******,100,233,True,2018-06-13 02:08:32,R_24NS8nYK9vk9AQ1,*******,*******,*******,*******,*******,*******,anonymous,EN,,39,Male,,Mid Career Academic,13,"cognitive, quantitative",Somewhat Well,Somewhat Well,Moderately,Somewhat Poorly,Somewhat Well,Moderately,Moderate Caution,Moderate Caution,Moderate Caution,Somewhat Low Caution,Moderate Caution,Moderate Caution,"Somewhat - a small percentage of student participants seem to be extremely sleep-deprived during the last few weeks, and so I suspect that their performance would be somewhat worse."
2018-06-13 09:45:16,2018-06-13 09:49:24,IP Address,*******,100,247,True,2018-06-13 09:49:24,R_3NWFhSnxXNggwBx,*******,*******,*******,*******,*******,*******,anonymous,EN,,25,Female,,Graduate Student,,information processing,Moderately,Somewhat Well,Moderately,Somewhat Poorly,Somewhat Well,Moderately,Somewhat High Caution,Somewhat High Caution,Moderate Caution,Moderate Caution,Somewhat High Caution,Moderate Caution,"Yes, we tend to get participants that are less motivated and less interested in participating later in the semester. This is especially if they are doing the experiment for course credit. It is likely they are picking random experiments out of those remaining in the list later in the semester."
2018-06-13 12:24:45,2018-06-13 12:28:17,IP Address,*******,100,212,True,2018-06-13 12:28:17,R_2QL1KlTKlXYCYYB,*******,*******,*******,*******,*******,*******,anonymous,EN,,27,Male,,Early Career Academic,1,Moral psychology,Somewhat Well,Moderately,Moderately,Somewhat Well,Moderately,Moderately,Moderate Caution,Somewhat High Caution,High Caution,Moderate Caution,Moderate Caution,Somewhat High Caution,"Dependimg on the measured variables. For instance I expect students to be specially anxious/ depressed/ stressed at the end of the semester as oposed to the beginning. However, other measures (i.e. political leanings or reaction times) I don’t expect to vary too systematically."
2018-06-13 22:56:15,2018-06-13 22:58:31,IP Address,*******,100,135,True,2018-06-13 22:58:32,R_2SvHcA6Ixrr1Bnl,*******,*******,*******,*******,*******,*******,anonymous,EN,,33,Female,,Early Career Academic,5,emotion and decision making,Well,Moderately,Well,Poorly,Moderately,Well,Moderate Caution,Low Caution,Somewhat High Caution,Extremely Low Caution,Low Caution,Moderate Caution,"Yes, worse at end of semester for student participants. "
2018-06-08 17:49:18,2018-06-08 18:08:58,IP Address,*******,58,1179,False,2018-06-15 18:08:59,R_3NWGnWsJHBvGnxN,*******,*******,*******,*******,*******,*******,anonymous,EN,,25,Female,,Graduate Student,,Information processing,,,,,,,,,,,,,
2018-06-08 18:46:07,2018-06-08 18:46:43,IP Address,*******,17,36,False,2018-06-15 18:47:14,R_2rCsQBbodUAXGxa,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-08 21:30:09,2018-06-08 21:31:13,IP Address,*******,17,64,False,2018-06-15 21:31:37,R_2uDtezrfu0q4ooA,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-08 22:00:50,2018-06-08 22:01:56,IP Address,*******,17,65,False,2018-06-15 22:02:15,R_3iyTK5ZTNxvpLd9,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-08 22:52:18,2018-06-08 22:54:18,IP Address,*******,75,120,False,2018-06-15 22:54:42,R_3hG6gdKKGxhlMi8,*******,*******,*******,*******,*******,*******,anonymous,EN,,48,Male,,Senior Academic,19,Memory,Well,Moderately,Moderately,Poorly,Moderately,Moderately,,,,,,,
2018-06-09 00:27:18,2018-06-09 00:28:50,IP Address,*******,58,91,False,2018-06-16 00:28:50,R_3MEXLuVkVl9Metn,*******,*******,*******,*******,*******,*******,anonymous,EN,,39,Male,,Mid Career Academic,9,"visual working memory, perception, decision making",,,,,,,,,,,,,
2018-06-09 00:28:26,2018-06-09 00:29:05,IP Address,*******,17,39,False,2018-06-16 00:30:28,R_RLz0hOKug4PMekx,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-09 00:37:49,2018-06-09 00:40:26,IP Address,*******,75,156,False,2018-06-16 00:40:54,R_9EI480JmwpgiRpL,*******,*******,*******,*******,*******,*******,anonymous,EN,,37,Male,,Mid Career Academic,7,Experiments; prosocial motivation,Somewhat Poorly,Somewhat Well,Moderately,Somewhat Poorly,Somewhat Well,Moderately,,,,,,,
2018-06-09 00:39:24,2018-06-09 00:40:45,IP Address,*******,58,80,False,2018-06-16 00:40:56,R_UMShY4yZe9KlDYB,*******,*******,*******,*******,*******,*******,anonymous,EN,,30,Female,,Early Career Academic,2,Medical decision making,,,,,,,,,,,,,
2018-06-09 01:06:57,2018-06-09 01:13:54,IP Address,*******,75,416,False,2018-06-16 01:14:55,R_1CHB985viqTk7ry,*******,*******,*******,*******,*******,*******,anonymous,EN,,33,Male,,Early Career Academic,4,memory,Somewhat Well,Well,Somewhat Well,Somewhat Well,Well,Well,,,,,,,
2018-06-09 01:14:07,2018-06-09 01:16:17,IP Address,*******,58,130,False,2018-06-16 01:18:13,R_1OHP5k29dMZc9Hd,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-09 01:18:41,2018-06-09 01:19:19,IP Address,*******,17,37,False,2018-06-16 01:25:00,R_2VmSzjGqy2jhMyF,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-08 23:04:04,2018-06-09 01:27:57,IP Address,*******,75,8633,False,2018-06-16 01:28:00,R_3fSLlLEkNANWPoD,*******,*******,*******,*******,*******,*******,anonymous,EN,,33,Female,,Early Career Academic,1,"decision-making, social perception",Well,Moderately,Moderately,Somewhat Well,Moderately,Moderately,,,,,,,
2018-06-08 21:08:59,2018-06-09 02:09:05,IP Address,*******,58,18006,False,2018-06-16 02:09:09,R_2OJT0mRZLKN7Q0f,*******,*******,*******,*******,*******,*******,anonymous,EN,,34,Male,,Early Career Academic,4,"modeling, reasoning, memory",,,,,,,,,,,,,
2018-06-09 02:18:39,2018-06-09 02:23:09,IP Address,*******,75,270,False,2018-06-16 02:23:13,R_9GBfsd4cH27ew9P,*******,*******,*******,*******,*******,*******,anonymous,EN,,34,Female,,Early Career Academic,0,"Physicians’ diagnostic reasoning ",,,,,,,,,,,,,
2018-06-09 02:37:38,2018-06-09 02:38:26,IP Address,*******,17,47,False,2018-06-16 02:39:06,R_2bIeq7zwaGC7pBq,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-09 02:45:43,2018-06-09 02:46:14,IP Address,*******,17,31,False,2018-06-16 02:46:40,R_cZTOCVvFeQX4rAJ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-09 01:11:21,2018-06-09 03:35:10,IP Address,*******,58,8628,False,2018-06-16 03:35:51,R_1eFVpsebwnVKxs1,*******,*******,*******,*******,*******,*******,anonymous,EN,,38,,,,,,,,,,,,,,,,,,
2018-06-09 04:13:14,2018-06-09 04:16:39,IP Address,*******,58,204,False,2018-06-16 04:19:17,R_PGKS8Bqo8Jv7HHP,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Male,,Graduate Student,,,,,,,,,,,,,,,
2018-06-09 06:09:02,2018-06-09 06:10:19,IP Address,*******,58,76,False,2018-06-16 06:10:47,R_2qt1FsSJFvmKJYi,*******,*******,*******,*******,*******,*******,anonymous,EN,,50,Male,,Senior Academic,21,,,,,,,,,,,,,,
2018-06-09 18:06:40,2018-06-09 18:08:36,IP Address,*******,58,115,False,2018-06-16 18:08:43,R_1PbFBUxRd4HQB5J,*******,*******,*******,*******,*******,*******,anonymous,EN,,,Male,,Early Career Academic,2,,,,,,,,,,,,,,
2018-06-11 06:49:43,2018-06-11 08:54:31,IP Address,*******,75,7488,False,2018-06-18 08:55:05,R_3HjESoGBgGkydae,*******,*******,*******,*******,*******,*******,anonymous,EN,,35,Male,,Early Career Academic,5,categorization,Somewhat Well,Well,Poorly,Somewhat Poorly,Well,Poorly,,,,,,,
2018-06-11 15:38:09,2018-06-11 16:10:32,IP Address,*******,8,1942,False,2018-06-18 16:10:33,R_2uHSJwk1rZ19wnM,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-11 16:09:02,2018-06-11 16:09:54,IP Address,*******,58,51,False,2018-06-18 16:10:48,R_3F4l9G5M991LZEc,*******,*******,*******,*******,*******,*******,anonymous,EN,,28,Female,,Early Career Academic,2,"decision-making, memory",,,,,,,,,,,,,
2018-06-11 16:18:46,2018-06-11 16:33:11,IP Address,*******,75,864,False,2018-06-18 16:34:02,R_24De0w6hBiPkubu,*******,*******,*******,*******,*******,*******,anonymous,EN,,30,Female,,Graduate Student,,Risk Taking Behavior,Somewhat Well,Well,Moderately,Somewhat Well,Somewhat Well,Somewhat Well,,,,,,,
2018-06-11 19:20:04,2018-06-11 19:20:25,IP Address,*******,17,21,False,2018-06-18 19:20:41,R_2f1nSTVaDtuDl4a,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-06-29 14:23:59,2018-06-29 14:26:40,IP Address,*******,100,160,True,2018-06-29 14:26:40,R_2qxASwiN6LBW7wq,*******,*******,*******,*******,*******,*******,anonymous,EN,,36,Male,,Early Career Academic,5,visual psychophysics,Well,Well,Well,Well,Well,Well,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Moderate Caution,Somewhat High Caution,Somewhat High Caution,"I have always speculated this is the case from anecdotal experience, but have not seen data."
2018-06-29 21:18:40,2018-06-29 21:22:04,IP Address,*******,100,203,True,2018-06-29 21:22:04,R_1diBxG0VQHZpiQa,*******,*******,*******,*******,*******,*******,anonymous,EN,,42,Male,,Senior Academic,17,"Cognitive psychology ",Well,Somewhat Well,Moderately,Moderately,Well,Moderately,Somewhat High Caution,High Caution,Moderate Caution,Somewhat High Caution,Somewhat High Caution,Moderate Caution,"Yes. There are fewer “off task” participants in the first part of semester than in the last part. After removing those off task participants, I’m not sure the remaining participants are any different though. "
2018-06-29 21:24:05,2018-06-29 21:26:00,IP Address,*******,100,114,True,2018-06-29 21:26:00,R_3hhccOH5cb64sta,*******,*******,*******,*******,*******,*******,anonymous,EN,,30,Female,,Early Career Academic,2,intelligence; mental speed; EEG,Extremely Well,Somewhat Well,Somewhat Well,Extremely Well,Somewhat Well,Somewhat Well,Moderate Caution,High Caution,Somewhat Low Caution,Low Caution,High Caution,Somewhat Low Caution,
2018-06-27 08:55:21,2018-06-27 09:01:18,IP Address,*******,75,356,False,2018-07-04 09:01:18,R_1QivyjI41JvIeiZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,24,Female,,Graduate Student,,Intertemporal choice and risky choice,Somewhat Well,Somewhat Well,Poorly,Moderately,Somewhat Well,Poorly,,,,,,,
2018-06-30 18:37:35,2018-06-30 18:37:50,IP Address,*******,17,15,False,2018-07-07 18:37:56,R_PRv5Symt8CmJjup,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,
